Orange Drop 715P,1000,0.0082,31.8,7.9
Orange Drop 715P,1000,0.01,31.8,8.4
Orange Drop 715P,1000,0.012,31.8,8.9
Orange Drop 715P,1000,0.015,31.8,9.7
Orange Drop 715P,1000,0.018,31.8,10.4
Orange Drop 715P,1000,0.022,31.8,11.2
Orange Drop 715P,1000,0.027,31.8,11.9
Orange Drop 715P,1000,0.033,31.8,13
Orange Drop 715P,1000,0.039,41.9,11.9
Orange Drop 715P,1000,0.047,41.9,12.7
Orange Drop 715P,1000,0.056,41.9,13.5
Orange Drop 715P,1000,0.068,41.9,14.7
Orange Drop 715P,1000,0.082,41.9,15.7
Orange Drop 715P,1000,0.1,41.9,17

Orange Drop 716P,100,0.0082,14.5,5.8
Orange Drop 716P,100,0.009,14.5,6.1
Orange Drop 716P,100,0.01,14.5,6.1
Orange Drop 716P,100,0.012,14.5,5.8
Orange Drop 716P,100,0.015,14.5,6.4
Orange Drop 716P,100,0.018,14.5,6.6
Orange Drop 716P,100,0.022,14.5,7.1
Orange Drop 716P,100,0.025,14.5,7.4
Orange Drop 716P,100,0.027,14.5,6.9
Orange Drop 716P,100,0.033,14.5,7.4
Orange Drop 716P,100,0.039,14.5,7.9
Orange Drop 716P,100,0.047,14.5,8.6
Orange Drop 716P,100,0.05,17.8,7.1
Orange Drop 716P,100,0.056,17.8,7.4
Orange Drop 716P,100,0.062,17.8,7.9
Orange Drop 716P,100,0.068,17.8,8.1
Orange Drop 716P,100,0.075,17.8,8.4
Orange Drop 716P,100,0.082,17.8,8.9
Orange Drop 716P,100,0.09,17.8,9.1
Orange Drop 716P,100,0.1,17.8,9.7
Orange Drop 716P,100,0.12,22.9,8.4
Orange Drop 716P,100,0.15,22.9,9.4
Orange Drop 716P,100,0.18,22.9,10.2
Orange Drop 716P,100,0.2,22.9,10.7
Orange Drop 716P,100,0.22,22.9,11.2
Orange Drop 716P,100,0.25,22.9,11.9
Orange Drop 716P,100,0.27,22.9,12.4
Orange Drop 716P,100,0.3,31.8,10.4
